ticker,parsed_expiry,parsed_strike,parsed_type,total_premium,total_size,open_interest
SPY,,638,CALL,5038.00,1,0
SPY,,638,PUT,21405.00,96,0
SPY,,639,PUT,14463.00,55,0
SPY,,640,CALL,1778107.00,351,0
SPY,,640,PUT,130797183.00000000,103041,0
SPY,,641,CALL,16043.00,3,0
SPY,,641,PUT,27923.00,103,0
SPY,,642,PUT,14846.00,90,0
SPY,,643,CALL,4700.00,1,0
SPY,,643,PUT,55284.00,312,0
SPY,,644,PUT,48853.00,179,0
SPY,,645,CALL,1073972.00,207,0
SPY,,645,PUT,75040763.00000000,122986,0
SPY,,646,CALL,14569.00,3,0
SPY,,646,PUT,73244.00,398,0
SPY,,647,PUT,13939.00,210,0
SPY,,648,CALL,27600.00,4,0
SPY,,648,PUT,625380.00,3241,0
SPY,,649,CALL,3960.00,1,0
SPY,,649,PUT,15400.00,291,0
SPY,,650,CALL,1858043.00,376,0
SPY,,650,PUT,4295653.00,21913,0
SPY,,651,CALL,58990.00,15,0
SPY,,651,PUT,405986.00,1283,0
SPY,,652,CALL,22396.00,6,0
SPY,,652,PUT,75450.00,1164,0
SPY,,653,CALL,182056.00,49,0
SPY,,653,PUT,130276.00,1608,0
SPY,,654,CALL,17109.00,5,0
SPY,,654,PUT,193982.00,1628,0
SPY,,655,CALL,1822909.00,507,0
SPY,,655,PUT,10934070.00,18869,0
SPY,,656,CALL,35102.00,10,0
SPY,,656,PUT,37962.00,2367,0
SPY,,657,CALL,18415.00,6,0
SPY,,657,PUT,195600.00,2414,0
SPY,,658,CALL,72447.00,24,0
SPY,,658,PUT,140914.00,1156,0
SPY,,659,CALL,104185.00,36,0
SPY,,659,PUT,126585.00,2238,0
SPY,,660,CALL,2699852.00,771,0
SPY,,660,PUT,6605234.00,27943,0
SPY,,661,CALL,91913.00,32,0
SPY,,661,PUT,243595.00,4599,0
SPY,,662,CALL,136613.00,51,0
SPY,,662,PUT,350468.00,4897,0
SPY,,663,CALL,75093.00,27,0
SPY,,663,PUT,393872.00,4843,0
SPY,,664,CALL,40257.00,13,0
SPY,,664,PUT,264339.00,2016,0
SPY,,665,CALL,1013394.00,288,0
SPY,,665,PUT,3446588.00,14482,0
SPY,,666,CALL,82485.00,38,0
SPY,,666,PUT,498411.00,3904,0
SPY,,667,CALL,27518.00,11,0
SPY,,667,PUT,177841.00,3922,0
SPY,,668,CALL,113082.00,50,0
SPY,,668,PUT,256240.00,3453,0
SPY,,669,CALL,167679.00,84,0
SPY,,669,PUT,290826.00,4075,0
SPY,,670,CALL,2990676.00,1280,0
SPY,,670,PUT,8257676.00,31295,0
SPY,,671,CALL,202294.00,95,0
SPY,,671,PUT,291539.00,3436,0
SPY,,672,CALL,265876.00,143,0
SPY,,672,PUT,249126.00,7891,0
SPY,,673,CALL,331681.00,180,0
SPY,,673,PUT,490628.00,9257,0
SPY,,674,CALL,250093.00,165,0
SPY,,674,PUT,243417.00,3701,0
SPY,,675,CALL,2574272.00,1264,0
SPY,,675,PUT,4295507.00,16517,0
SPY,,676,CALL,637917.00,314,0
SPY,,676,PUT,526506.00,7982,0
SPY,,677,CALL,645482.00,558,0
SPY,,677,PUT,975434.00,11182,0
SPY,,678,CALL,1225928.00,967,0
SPY,,678,PUT,1085101.00,15243,0
SPY,,679,CALL,821410.00,743,0
SPY,,679,PUT,873916.00,15310,0
SPY,,680,CALL,10851032.00,8756,0
SPY,,680,PUT,12225693.00,65114,0
SPY,,681,CALL,1609908.00,1902,0
SPY,,681,PUT,2245815.00,59445,0
SPY,,682,CALL,2117538.00,3087,0
SPY,,682,PUT,3746175.00,76254,0
SPY,,683,CALL,5239351.00,10554,0
SPY,,683,PUT,2923895.00,86066,0
SPY,,684,CALL,6391816.00,15787,0
SPY,,684,PUT,5558577.00,147180,0
SPY,,685,CALL,20782443.00,53348,0
