symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,652,687.47,PUT,0,178,0,0,0.0
SPY,,1,653,687.47,CALL,11,0,0,0,0.0
SPY,,1,653,687.47,PUT,200,288,0,0,0.0
SPY,,1,654,687.47,CALL,0,1,0,0,0.0
SPY,,1,654,687.47,PUT,100,580,0,0,0.0
SPY,,1,655,687.47,CALL,5,11,0,0,0.0
SPY,,1,655,687.47,PUT,5,689,0,0,0.0
SPY,,1,656,687.47,CALL,16,144,0,0,0.0
SPY,,1,656,687.47,PUT,0,1190,0,0,0.0
SPY,,1,657,687.47,CALL,0,72,0,0,0.0
SPY,,1,657,687.47,PUT,0,725,0,0,0.0
SPY,,1,658,687.47,CALL,1,3,0,0,0.0
SPY,,1,658,687.47,PUT,2,1699,0,0,0.0
SPY,,1,659,687.47,CALL,1,0,0,0,0.0
SPY,,1,659,687.47,PUT,1,444,0,0,0.0
SPY,,1,660,687.47,CALL,253,367,0,0,0.0
SPY,,1,660,687.47,PUT,1,1059,0,0,0.0
SPY,,1,661,687.47,CALL,13,7,0,0,0.0
SPY,,1,661,687.47,PUT,97,783,0,0,0.0
SPY,,1,662,687.47,CALL,2,33,0,0,0.0
SPY,,1,662,687.47,PUT,0,1290,0,0,0.0
SPY,,1,663,687.47,CALL,2,7,0,0,0.0
SPY,,1,663,687.47,PUT,1,754,0,0,0.0
SPY,,1,664,687.47,CALL,12,6,0,0,0.0
SPY,,1,664,687.47,PUT,14,769,0,0,0.0
SPY,,1,665,687.47,CALL,4,31,0,0,0.0
SPY,,1,665,687.47,PUT,25,8553,0,0,0.0
SPY,,1,666,687.47,CALL,12,3,0,0,0.0
SPY,,1,666,687.47,PUT,1123,426,0,0,0.0
SPY,,1,667,687.47,CALL,30,107,0,0,0.0
SPY,,1,667,687.47,PUT,701,233,0,0,0.0
SPY,,1,668,687.47,CALL,24,12,0,0,0.0
SPY,,1,668,687.47,PUT,96,530,0,0,0.0
SPY,,1,669,687.47,CALL,1,2,0,0,0.0
SPY,,1,669,687.47,PUT,3949,552,0,0,0.0
SPY,,1,670,687.47,CALL,12,1216,0,0,0.0
SPY,,1,670,687.47,PUT,1375,1192,0,0,0.0
SPY,,1,671,687.47,CALL,20,6,0,0,0.0
SPY,,1,671,687.47,PUT,109,1137,0,0,0.0
SPY,,1,672,687.47,CALL,20,285,0,0,0.0
SPY,,1,672,687.47,PUT,3039,1481,0,0,0.0
SPY,,1,673,687.47,CALL,11,95,0,0,0.0
SPY,,1,673,687.47,PUT,941,1824,0,0,0.0
SPY,,1,674,687.47,CALL,12,34,0,0,0.0
SPY,,1,674,687.47,PUT,763,1068,0,0,0.0
SPY,,1,675,687.47,CALL,26,847,0,0,0.0
SPY,,1,675,687.47,PUT,2463,2280,0,0,0.0
SPY,,1,676,687.47,CALL,12,421,0,0,0.0
SPY,,1,676,687.47,PUT,3618,1676,0,0,0.0
SPY,,1,677,687.47,CALL,25,452,0,0,0.0
SPY,,1,677,687.47,PUT,1654,2197,0,0,0.0
SPY,,1,678,687.47,CALL,110,328,0,0,0.0
SPY,,1,678,687.47,PUT,1113,2052,0,0,0.0
SPY,,1,679,687.47,CALL,92,442,0,0,0.0
SPY,,1,679,687.47,PUT,3375,6025,0,0,0.0
SPY,,1,680,687.47,CALL,444,1154,0,0,0.0
SPY,,1,680,687.47,PUT,18456,9956,0,0,0.0
SPY,,1,681,687.47,CALL,469,334,0,0,0.0
SPY,,1,681,687.47,PUT,8073,6303,0,0,0.0
SPY,,1,682,687.47,CALL,1467,777,0,0,0.0
SPY,,1,682,687.47,PUT,35386,5009,0,0,0.0
SPY,,1,683,687.47,CALL,4517,946,0,0,0.0
SPY,,1,683,687.47,PUT,38957,5699,0,0,0.0
SPY,,1,684,687.47,CALL,6661,1099,0,0,0.0
SPY,,1,684,687.47,PUT,48516,10590,0,0,0.0
SPY,,1,685,687.47,CALL,19679,2262,0,0,0.0
SPY,,1,685,687.47,PUT,143898,9143,0,0,0.0
SPY,,1,686,687.47,CALL,51795,3323,0,0,0.0
SPY,,1,686,687.47,PUT,240777,8670,0,0,0.0
SPY,,1,687,687.47,CALL,247210,11795,0,0,0.0
